"query_id","language","intent","content_domain","status_scope","answerable","split","expected_provisions","technical_expected_result","reviewer_batch_ref","correct_authority","correct_version","correct_provision","citation_supports_claim","material_omission","unsafe_legal_conclusion","preferred_answer","reviewer_comments","reviewer_name","review_date"
"HY-SEM-016","hy","armenian_semantic","knowledge_base","current","true","train","N 1212-Ա","expected_document_ids=1a444762-9bb6-4b45-b908-add973f1323a expected_provisions=N 1212-Ա answerable=true","AUDIT_REPORTS/artifacts/prompt19_3_review/review_batch_a.jsonl (query_id=HY-SEM-016)","","","","","","","","","",""
"HY-SEM-017","hy","armenian_semantic","knowledge_base","current","true","train","N 2327-Ա","expected_document_ids=1a82f12c-f2aa-4c23-8e05-1615520159f1 expected_provisions=N 2327-Ա answerable=true","AUDIT_REPORTS/artifacts/prompt19_3_review/review_batch_a.jsonl (query_id=HY-SEM-017)","","","","","","","","","",""
"HY-SEM-018","hy","armenian_semantic","knowledge_base","current","true","train","N 1145-Ա","expected_document_ids=1b24b821-2b25-4370-bd4b-6e749801c5e8 expected_provisions=N 1145-Ա answerable=true","AUDIT_REPORTS/artifacts/prompt19_3_review/review_batch_a.jsonl (query_id=HY-SEM-018)","","","","","","","","","",""
"HY-SEM-019","hy","armenian_semantic","knowledge_base","current","true","train","N 515-Ա","expected_document_ids=1de41f2c-f75a-4f05-b00c-b1966dd3d12b expected_provisions=N 515-Ա answerable=true","AUDIT_REPORTS/artifacts/prompt19_3_review/review_batch_a.jsonl (query_id=HY-SEM-019)","","","","","","","","","",""
"HY-SEM-020","hy","armenian_semantic","knowledge_base","current","true","train","թիվ 20","expected_document_ids=1e46537b-3a2c-4c9b-857e-8a9ce401c4e1 expected_provisions=թիվ 20 answerable=true","AUDIT_REPORTS/artifacts/prompt19_3_review/review_batch_a.jsonl (query_id=HY-SEM-020)","","","","","","","","","",""
"HY-SEM-021","hy","armenian_semantic","knowledge_base","current","true","train","N 1078-Ա","expected_document_ids=1e562caa-48aa-4c25-a565-8d663a420ab9 expected_provisions=N 1078-Ա answerable=true","AUDIT_REPORTS/artifacts/prompt19_3_review/review_batch_a.jsonl (query_id=HY-SEM-021)","","","","","","","","","",""
"HY-SEM-022","hy","armenian_semantic","knowledge_base","current","true","train","N 1603-Ա","expected_document_ids=1e6e33df-0903-438e-a036-09ad4f75ad79 expected_provisions=N 1603-Ա answerable=true","AUDIT_REPORTS/artifacts/prompt19_3_review/review_batch_a.jsonl (query_id=HY-SEM-022)","","","","","","","","","",""
"HY-SEM-023","hy","armenian_semantic","knowledge_base","current","true","train","N 2201-Ա","expected_document_ids=2103e46a-db03-4744-88d7-d4dd9f9cdba4 expected_provisions=N 2201-Ա answerable=true","AUDIT_REPORTS/artifacts/prompt19_3_review/review_batch_a.jsonl (query_id=HY-SEM-023)","","","","","","","","","",""
"HY-SEM-024","hy","armenian_semantic","knowledge_base","current","true","train","N 541-Ա","expected_document_ids=22ea934f-049d-43d0-a916-b2788a3e0f71 expected_provisions=N 541-Ա answerable=true","AUDIT_REPORTS/artifacts/prompt19_3_review/review_batch_a.jsonl (query_id=HY-SEM-024)","","","","","","","","","",""
"HY-SEM-025","hy","armenian_semantic","knowledge_base","current","true","train","N 1171-Ա","expected_document_ids=231836f5-12ad-44a1-8a54-e6c1e95d7910 expected_provisions=N 1171-Ա answerable=true","AUDIT_REPORTS/artifacts/prompt19_3_review/review_batch_a.jsonl (query_id=HY-SEM-025)","","","","","","","","","",""
"HY-SEM-026","hy","armenian_semantic","knowledge_base","current","true","train","թիվ 78","expected_document_ids=24b78d92-e406-427a-aece-2c475ec1bd52 expected_provisions=թիվ 78 answerable=true","AUDIT_REPORTS/artifacts/prompt19_3_review/review_batch_a.jsonl (query_id=HY-SEM-026)","","","","","","","","","",""
"HY-SEM-027","hy","armenian_semantic","knowledge_base","current","true","train","N 1153-Ն","expected_document_ids=259cb24a-4f3f-433b-bd38-7512f2623ac1 expected_provisions=N 1153-Ն answerable=true","AUDIT_REPORTS/artifacts/prompt19_3_review/review_batch_a.jsonl (query_id=HY-SEM-027)","","","","","","","","","",""
"HY-SEM-028","hy","armenian_semantic","knowledge_base","current","true","train","N 486-Ա","expected_document_ids=29b003ad-1aab-46ac-9c3b-ca102a1d6928 expected_provisions=N 486-Ա answerable=true","AUDIT_REPORTS/artifacts/prompt19_3_review/review_batch_a.jsonl (query_id=HY-SEM-028)","","","","","","","","","",""
"HY-SEM-029","hy","armenian_semantic","knowledge_base","current","true","train","N 1093-Ա","expected_document_ids=2a2ca252-2734-4ade-9f7c-6df66b42bf9d expected_provisions=N 1093-Ա answerable=true","AUDIT_REPORTS/artifacts/prompt19_3_review/review_batch_a.jsonl (query_id=HY-SEM-029)","","","","","","","","","",""
"HY-SEM-030","hy","armenian_semantic","knowledge_base","current","true","train","N 1197-Ա","expected_document_ids=2c92ab7e-f157-4353-942b-0f87a1361c78 expected_provisions=N 1197-Ա answerable=true","AUDIT_REPORTS/artifacts/prompt19_3_review/review_batch_a.jsonl (query_id=HY-SEM-030)","","","","","","","","","",""
"HY-SEM-031","hy","armenian_semantic","knowledge_base","current","true","train","N 2317-Ա","expected_document_ids=2cab32b3-a88c-4349-9db3-fab6f3af7906 expected_provisions=N 2317-Ա answerable=true","AUDIT_REPORTS/artifacts/prompt19_3_review/review_batch_a.jsonl (query_id=HY-SEM-031)","","","","","","","","","",""
"HY-SEM-032","hy","armenian_semantic","knowledge_base","current","true","train","N 1116-Ա","expected_document_ids=2d2e2a95-5b54-450d-88d5-26ffc571fb47 expected_provisions=N 1116-Ա answerable=true","AUDIT_REPORTS/artifacts/prompt19_3_review/review_batch_a.jsonl (query_id=HY-SEM-032)","","","","","","","","","",""
"HY-SEM-033","hy","armenian_semantic","knowledge_base","current","true","train","N 1167-Ա","expected_document_ids=2fa20d07-17f4-4a08-82df-8da86778e356 expected_provisions=N 1167-Ա answerable=true","AUDIT_REPORTS/artifacts/prompt19_3_review/review_batch_a.jsonl (query_id=HY-SEM-033)","","","","","","","","","",""
"HY-SEM-034","hy","armenian_semantic","knowledge_base","current","true","train","N 1028-Ա","expected_document_ids=305ab69f-6cdc-4998-b72e-8bbd52ed5ad5 expected_provisions=N 1028-Ա answerable=true","AUDIT_REPORTS/artifacts/prompt19_3_review/review_batch_a.jsonl (query_id=HY-SEM-034)","","","","","","","","","",""
"HY-SEM-035","hy","armenian_semantic","knowledge_base","current","true","train","N 1016-Լ","expected_document_ids=3077a4a8-f79e-4f21-a2b9-9da5151c4160 expected_provisions=N 1016-Լ answerable=true","AUDIT_REPORTS/artifacts/prompt19_3_review/review_batch_a.jsonl (query_id=HY-SEM-035)","","","","","","","","","",""
"HY-SEM-036","hy","armenian_semantic","knowledge_base","current","true","train","N 1057-Ա","expected_document_ids=31d0ecae-4ced-4f97-8e2a-769a57a7b994 expected_provisions=N 1057-Ա answerable=true","AUDIT_REPORTS/artifacts/prompt19_3_review/review_batch_a.jsonl (query_id=HY-SEM-036)","","","","","","","","","",""
"HY-SEM-037","hy","armenian_semantic","knowledge_base","current","true","train","N 1034-Ն","expected_document_ids=31e8224e-73bc-4a9e-b54b-5cfc2439368e expected_provisions=N 1034-Ն answerable=true","AUDIT_REPORTS/artifacts/prompt19_3_review/review_batch_a.jsonl (query_id=HY-SEM-037)","","","","","","","","","",""
"HY-SEM-038","hy","armenian_semantic","knowledge_base","current","true","train","N 2236-Ա","expected_document_ids=3f24158d-0ad9-4e66-8fa6-98892fc8f1c5 expected_provisions=N 2236-Ա answerable=true","AUDIT_REPORTS/artifacts/prompt19_3_review/review_batch_a.jsonl (query_id=HY-SEM-038)","","","","","","","","","",""
"HY-SEM-039","hy","armenian_semantic","knowledge_base","current","true","train","N 1056-Լ","expected_document_ids=407f2ac1-4fc1-4ffb-b3f4-c0997a3bec1a expected_provisions=N 1056-Լ answerable=true","AUDIT_REPORTS/artifacts/prompt19_3_review/review_batch_a.jsonl (query_id=HY-SEM-039)","","","","","","","","","",""
"HY-SEM-040","hy","armenian_semantic","knowledge_base","current","true","train","N 2285-Ա","expected_document_ids=42e95d9f-424b-4995-8981-5ad08a825001 expected_provisions=N 2285-Ա answerable=true","AUDIT_REPORTS/artifacts/prompt19_3_review/review_batch_a.jsonl (query_id=HY-SEM-040)","","","","","","","","","",""
"HY-SEM-041","hy","armenian_semantic","knowledge_base","current","true","train","N 1155-Ա","expected_document_ids=44d9d387-55d7-4d29-8734-41835864da8d expected_provisions=N 1155-Ա answerable=true","AUDIT_REPORTS/artifacts/prompt19_3_review/review_batch_a.jsonl (query_id=HY-SEM-041)","","","","","","","","","",""
"HY-SEM-042","hy","armenian_semantic","knowledge_base","current","true","train","N 1135-Ա","expected_document_ids=49e5c0dd-b22b-432f-b3a8-c65e47f6e664 expected_provisions=N 1135-Ա answerable=true","AUDIT_REPORTS/artifacts/prompt19_3_review/review_batch_a.jsonl (query_id=HY-SEM-042)","","","","","","","","","",""
"HY-SEM-043","hy","armenian_semantic","knowledge_base","current","true","train","N 2301-Ա","expected_document_ids=49e6b7e0-6e8e-4690-9913-ffb0823f62e2 expected_provisions=N 2301-Ա answerable=true","AUDIT_REPORTS/artifacts/prompt19_3_review/review_batch_a.jsonl (query_id=HY-SEM-043)","","","","","","","","","",""
"HY-SEM-044","hy","armenian_semantic","knowledge_base","current","true","train","N 1055-Ա","expected_document_ids=4bd76588-420c-4821-801c-cfff8de1ba2c expected_provisions=N 1055-Ա answerable=true","AUDIT_REPORTS/artifacts/prompt19_3_review/review_batch_a.jsonl (query_id=HY-SEM-044)","","","","","","","","","",""
"HY-SEM-045","hy","armenian_semantic","knowledge_base","current","true","train","թիվ 69","expected_document_ids=50cf3257-2e37-429f-a6f1-2daa413678d7 expected_provisions=թիվ 69 answerable=true","AUDIT_REPORTS/artifacts/prompt19_3_review/review_batch_a.jsonl (query_id=HY-SEM-045)","","","","","","","","","",""
"HY-SEM-046","hy","armenian_semantic","knowledge_base","current","true","train","N 1003-Ա","expected_document_ids=5456a70f-562d-412f-b223-d9c92a02f4bd expected_provisions=N 1003-Ա answerable=true","AUDIT_REPORTS/artifacts/prompt19_3_review/review_batch_a.jsonl (query_id=HY-SEM-046)","","","","","","","","","",""
"HY-SEM-047","hy","armenian_semantic","knowledge_base","current","true","train","թիվ 114","expected_document_ids=556852d3-4683-4f00-8fe6-463bbcaf0560 expected_provisions=թիվ 114 answerable=true","AUDIT_REPORTS/artifacts/prompt19_3_review/review_batch_a.jsonl (query_id=HY-SEM-047)","","","","","","","","","",""
"HY-SEM-048","hy","armenian_semantic","knowledge_base","current","true","train","N 1062-Ա","expected_document_ids=5818f0cf-f2c8-460c-b695-be792b418a94 expected_provisions=N 1062-Ա answerable=true","AUDIT_REPORTS/artifacts/prompt19_3_review/review_batch_a.jsonl (query_id=HY-SEM-048)","","","","","","","","","",""
"HY-SEM-049","hy","armenian_semantic","knowledge_base","current","true","train","N 2059-Ա","expected_document_ids=58279e35-f36f-42bc-9d0a-946b57753252 expected_provisions=N 2059-Ա answerable=true","AUDIT_REPORTS/artifacts/prompt19_3_review/review_batch_a.jsonl (query_id=HY-SEM-049)","","","","","","","","","",""
"HY-SEM-050","hy","armenian_semantic","knowledge_base","current","true","train","N 1029-Ա","expected_document_ids=58ec2715-a4dd-4db6-ae7b-e239dbaa99ae expected_provisions=N 1029-Ա answerable=true","AUDIT_REPORTS/artifacts/prompt19_3_review/review_batch_a.jsonl (query_id=HY-SEM-050)","","","","","","","","","",""
"HY-SEM-051","hy","armenian_semantic","knowledge_base","current","true","train","N 1162-Ա","expected_document_ids=58f9c3a8-86a4-4991-b40b-743d9066e75a expected_provisions=N 1162-Ա answerable=true","AUDIT_REPORTS/artifacts/prompt19_3_review/review_batch_a.jsonl (query_id=HY-SEM-051)","","","","","","","","","",""
"HY-SEM-052","hy","armenian_semantic","knowledge_base","current","true","train","N 1195-Ա","expected_document_ids=5934cfee-08e6-49fc-afd6-4ace00b7c092 expected_provisions=N 1195-Ա answerable=true","AUDIT_REPORTS/artifacts/prompt19_3_review/review_batch_a.jsonl (query_id=HY-SEM-052)","","","","","","","","","",""
"HY-SEM-053","hy","armenian_semantic","knowledge_base","current","true","train","N 1198-Ա","expected_document_ids=5a5b80a8-702a-474c-b59c-858f94e4f66f expected_provisions=N 1198-Ա answerable=true","AUDIT_REPORTS/artifacts/prompt19_3_review/review_batch_a.jsonl (query_id=HY-SEM-053)","","","","","","","","","",""
"HY-SEM-054","hy","armenian_semantic","knowledge_base","current","true","train","N 1071-Ա","expected_document_ids=5b1432f5-1b41-4168-8272-83689c4091ef expected_provisions=N 1071-Ա answerable=true","AUDIT_REPORTS/artifacts/prompt19_3_review/review_batch_a.jsonl (query_id=HY-SEM-054)","","","","","","","","","",""
"HY-SEM-055","hy","armenian_semantic","knowledge_base","current","true","train","N 1139-Ա","expected_document_ids=6043a73e-1fcf-4006-8fc1-e193d3210bc6 expected_provisions=N 1139-Ա answerable=true","AUDIT_REPORTS/artifacts/prompt19_3_review/review_batch_a.jsonl (query_id=HY-SEM-055)","","","","","","","","","",""
"HY-SEM-056","hy","armenian_semantic","knowledge_base","current","true","train","N 2180-Ա","expected_document_ids=6a5c1ba6-dbd1-4221-afa6-c553b8f60456 expected_provisions=N 2180-Ա answerable=true","AUDIT_REPORTS/artifacts/prompt19_3_review/review_batch_a.jsonl (query_id=HY-SEM-056)","","","","","","","","","",""
"HY-SEM-057","hy","armenian_semantic","knowledge_base","current","true","train","N 2210-Ա","expected_document_ids=6ac08336-c566-4952-b2fd-e60907d669ba expected_provisions=N 2210-Ա answerable=true","AUDIT_REPORTS/artifacts/prompt19_3_review/review_batch_a.jsonl (query_id=HY-SEM-057)","","","","","","","","","",""
"HY-SEM-058","hy","armenian_semantic","knowledge_base","current","true","train","N 1110-Ա","expected_document_ids=6be7b646-68eb-4830-97fe-a3b1b950ace6 expected_provisions=N 1110-Ա answerable=true","AUDIT_REPORTS/artifacts/prompt19_3_review/review_batch_a.jsonl (query_id=HY-SEM-058)","","","","","","","","","",""
"HY-SEM-059","hy","armenian_semantic","knowledge_base","current","true","train","N 2062-Ա","expected_document_ids=6c1832b6-ae2a-453e-9373-609e326fde7a expected_provisions=N 2062-Ա answerable=true","AUDIT_REPORTS/artifacts/prompt19_3_review/review_batch_a.jsonl (query_id=HY-SEM-059)","","","","","","","","","",""
"HY-SEM-060","hy","armenian_semantic","knowledge_base","current","true","train","N 2214-Ա","expected_document_ids=6c34ec0f-ab4e-488c-b00d-a4ada1a07e31 expected_provisions=N 2214-Ա answerable=true","AUDIT_REPORTS/artifacts/prompt19_3_review/review_batch_a.jsonl (query_id=HY-SEM-060)","","","","","","","","","",""
"HY-SEM-061","hy","armenian_semantic","knowledge_base","current","true","dev","N 1182-Ա","expected_document_ids=6d06e150-f457-446d-afef-5cd795fccd98 expected_provisions=N 1182-Ա answerable=true","AUDIT_REPORTS/artifacts/prompt19_3_review/review_batch_a.jsonl (query_id=HY-SEM-061)","","","","","","","","","",""
"HY-SEM-062","hy","armenian_semantic","knowledge_base","current","true","dev","N 996-Ա","expected_document_ids=6f11578d-c40e-4a28-8fa4-d927d73f007d expected_provisions=N 996-Ա answerable=true","AUDIT_REPORTS/artifacts/prompt19_3_review/review_batch_a.jsonl (query_id=HY-SEM-062)","","","","","","","","","",""
"HY-SEM-063","hy","armenian_semantic","knowledge_base","current","true","dev","N 994-Ա","expected_document_ids=71998f2a-5d7f-4c80-8c6a-4c022511514a expected_provisions=N 994-Ա answerable=true","AUDIT_REPORTS/artifacts/prompt19_3_review/review_batch_a.jsonl (query_id=HY-SEM-063)","","","","","","","","","",""
"HY-SEM-064","hy","armenian_semantic","knowledge_base","current","true","dev","N 1109-Ա","expected_document_ids=72c0d83e-c5d3-47aa-9b78-c0d9480ef57d expected_provisions=N 1109-Ա answerable=true","AUDIT_REPORTS/artifacts/prompt19_3_review/review_batch_a.jsonl (query_id=HY-SEM-064)","","","","","","","","","",""
"HY-SEM-065","hy","armenian_semantic","knowledge_base","current","true","dev","N 2328-Ա","expected_document_ids=74104d20-6f98-462f-8cd4-765465a294b8 expected_provisions=N 2328-Ա answerable=true","AUDIT_REPORTS/artifacts/prompt19_3_review/review_batch_a.jsonl (query_id=HY-SEM-065)","","","","","","","","","",""
"HY-SEM-066","hy","armenian_semantic","knowledge_base","current","true","dev","N 1066-Ա","expected_document_ids=7436cafa-37ba-40b7-92d3-c455dddce3e6 expected_provisions=N 1066-Ա answerable=true","AUDIT_REPORTS/artifacts/prompt19_3_review/review_batch_a.jsonl (query_id=HY-SEM-066)","","","","","","","","","",""
"HY-SEM-067","hy","armenian_semantic","knowledge_base","current","true","dev","N 475-Ա","expected_document_ids=766f7941-dc7d-40d9-bbab-974ba6c2b3f6 expected_provisions=N 475-Ա answerable=true","AUDIT_REPORTS/artifacts/prompt19_3_review/review_batch_a.jsonl (query_id=HY-SEM-067)","","","","","","","","","",""
"HY-SEM-068","hy","armenian_semantic","knowledge_base","current","true","dev","N 1156-Ա","expected_document_ids=777e193c-29b8-4458-9f95-b5817d200333 expected_provisions=N 1156-Ա answerable=true","AUDIT_REPORTS/artifacts/prompt19_3_review/review_batch_a.jsonl (query_id=HY-SEM-068)","","","","","","","","","",""
"HY-SEM-069","hy","armenian_semantic","knowledge_base","current","true","dev","N 27-Ն","expected_document_ids=786efa67-fcce-47be-9c25-3c9f5e08185d expected_provisions=N 27-Ն answerable=true","AUDIT_REPORTS/artifacts/prompt19_3_review/review_batch_a.jsonl (query_id=HY-SEM-069)","","","","","","","","","",""
"HY-SEM-070","hy","armenian_semantic","knowledge_base","current","true","dev","N 1035-Լ","expected_document_ids=7af436d4-03b6-451b-8dec-709d226445ac expected_provisions=N 1035-Լ answerable=true","AUDIT_REPORTS/artifacts/prompt19_3_review/review_batch_a.jsonl (query_id=HY-SEM-070)","","","","","","","","","",""
"HY-SEM-071","hy","armenian_semantic","knowledge_base","current","true","dev","N 1170-Ա","expected_document_ids=7c3c2d23-ffcb-4f09-9f34-6acabfde68b6 expected_provisions=N 1170-Ա answerable=true","AUDIT_REPORTS/artifacts/prompt19_3_review/review_batch_a.jsonl (query_id=HY-SEM-071)","","","","","","","","","",""
"HY-SEM-072","hy","armenian_semantic","knowledge_base","current","true","dev","N 1123-Լ","expected_document_ids=7c49fcc6-fe73-40b4-9f2b-cca2f6bec464 expected_provisions=N 1123-Լ answerable=true","AUDIT_REPORTS/artifacts/prompt19_3_review/review_batch_a.jsonl (query_id=HY-SEM-072)","","","","","","","","","",""
"HY-SEM-073","hy","armenian_semantic","knowledge_base","current","true","dev","N 2213-Ա","expected_document_ids=7ca7e1bf-6e8a-41d8-a2d8-6d028eb46459 expected_provisions=N 2213-Ա answerable=true","AUDIT_REPORTS/artifacts/prompt19_3_review/review_batch_a.jsonl (query_id=HY-SEM-073)","","","","","","","","","",""
"HY-SEM-074","hy","armenian_semantic","knowledge_base","current","true","dev","N 1079-Ա","expected_document_ids=7fc3a30f-f4ba-47e2-af59-55e164a09403 expected_provisions=N 1079-Ա answerable=true","AUDIT_REPORTS/artifacts/prompt19_3_review/review_batch_a.jsonl (query_id=HY-SEM-074)","","","","","","","","","",""
"HY-SEM-075","hy","armenian_semantic","knowledge_base","current","true","dev","N 470-Ա","expected_document_ids=802bac89-dcc2-492c-86e6-3af4b5a4305b expected_provisions=N 470-Ա answerable=true","AUDIT_REPORTS/artifacts/prompt19_3_review/review_batch_a.jsonl (query_id=HY-SEM-075)","","","","","","","","","",""
"HY-SEM-076","hy","armenian_semantic","knowledge_base","current","true","dev","թիվ 43-Ն","expected_document_ids=809003ac-b85b-4a0c-9e3a-d4cc899055e1 expected_provisions=թիվ 43-Ն answerable=true","AUDIT_REPORTS/artifacts/prompt19_3_review/review_batch_a.jsonl (query_id=HY-SEM-076)","","","","","","","","","",""
"HY-SEM-077","hy","armenian_semantic","knowledge_base","current","true","dev","N 1021-Ա","expected_document_ids=8203b544-7acf-4cbf-bb84-169f93eb344c expected_provisions=N 1021-Ա answerable=true","AUDIT_REPORTS/artifacts/prompt19_3_review/review_batch_a.jsonl (query_id=HY-SEM-077)","","","","","","","","","",""
"HY-SEM-078","hy","armenian_semantic","knowledge_base","current","true","dev","N 1063-Ա","expected_document_ids=8511c53c-82c8-4fb1-a639-1381736b2d69 expected_provisions=N 1063-Ա answerable=true","AUDIT_REPORTS/artifacts/prompt19_3_review/review_batch_a.jsonl (query_id=HY-SEM-078)","","","","","","","","","",""
"HY-SEM-079","hy","armenian_semantic","knowledge_base","current","true","dev","թիվ 106-Ա","expected_document_ids=86172bbf-3eec-4dc3-9ca3-2fdca8faf232 expected_provisions=թիվ 106-Ա answerable=true","AUDIT_REPORTS/artifacts/prompt19_3_review/review_batch_a.jsonl (query_id=HY-SEM-079)","","","","","","","","","",""
"HY-SEM-080","hy","armenian_semantic","knowledge_base","current","true","dev","N 1051-Ա","expected_document_ids=8627a6aa-9909-48ad-8728-9a24003e79ce expected_provisions=N 1051-Ա answerable=true","AUDIT_REPORTS/artifacts/prompt19_3_review/review_batch_a.jsonl (query_id=HY-SEM-080)","","","","","","","","","",""
"HY-SEM-081","hy","armenian_semantic","knowledge_base","current","true","test","N 1114-Ա","expected_document_ids=867c653d-6136-4c8e-8860-bc54c880f7fe expected_provisions=N 1114-Ա answerable=true","AUDIT_REPORTS/artifacts/prompt19_3_review/review_batch_a.jsonl (query_id=HY-SEM-081)","","","","","","","","","",""
"HY-SEM-082","hy","armenian_semantic","knowledge_base","current","true","test","N 1088-Ա","expected_document_ids=8749dbf3-a945-4b50-9665-8cd7a3e4edb2 expected_provisions=N 1088-Ա answerable=true","AUDIT_REPORTS/artifacts/prompt19_3_review/review_batch_a.jsonl (query_id=HY-SEM-082)","","","","","","","","","",""
"HY-SEM-083","hy","armenian_semantic","knowledge_base","current","true","test","N 1095-Ն","expected_document_ids=8845caa1-6d30-4f97-81f6-2e5f2d8037fe expected_provisions=N 1095-Ն answerable=true","AUDIT_REPORTS/artifacts/prompt19_3_review/review_batch_a.jsonl (query_id=HY-SEM-083)","","","","","","","","","",""
"HY-SEM-084","hy","armenian_semantic","knowledge_base","current","true","test","N 1130-Ա","expected_document_ids=895b2558-0828-4280-89b5-967909125077 expected_provisions=N 1130-Ա answerable=true","AUDIT_REPORTS/artifacts/prompt19_3_review/review_batch_a.jsonl (query_id=HY-SEM-084)","","","","","","","","","",""
"HY-SEM-085","hy","armenian_semantic","knowledge_base","current","true","test","N 1073-Ա","expected_document_ids=8deca94c-3587-43a9-a43a-02959cbdb498 expected_provisions=N 1073-Ա answerable=true","AUDIT_REPORTS/artifacts/prompt19_3_review/review_batch_a.jsonl (query_id=HY-SEM-085)","","","","","","","","","",""
