ivfflat_probes,iterative_scan,ivfflat_max_probes,ann_limit,fts_limit,final_limit,exact_baseline_queries,ann_recall_at_5,ann_recall_at_10,ann_recall_at_20,latency_p50_ms,latency_p95_ms,latency_p99_ms,result_count_after_filters,status_distribution,index_used_normal_planner,index_used_forced
10,off,60,200,100,20,5,0.24,0.2,0.17,9.562,9.692,9.692,100,"{""active"": 42, ""repealed"": 29, ""unknown"": 29}",False,True
10,off,120,50,30,10,5,0.24,0.2,0.17,9.32,9.524,9.524,50,"{""active"": 29, ""repealed"": 10, ""unknown"": 11}",False,True
10,off,120,50,30,15,5,0.24,0.2,0.17,9.153,9.25,9.25,75,"{""active"": 38, ""repealed"": 18, ""unknown"": 19}",False,True
10,off,120,50,30,20,5,0.24,0.2,0.17,9.478,9.855,9.855,100,"{""active"": 42, ""repealed"": 29, ""unknown"": 29}",False,True
10,off,120,50,50,10,5,0.24,0.2,0.17,8.929,9.196,9.196,50,"{""active"": 29, ""repealed"": 10, ""unknown"": 11}",False,True
10,off,120,50,50,15,5,0.24,0.2,0.17,8.785,9.102,9.102,75,"{""active"": 38, ""repealed"": 18, ""unknown"": 19}",False,True
10,off,120,50,50,20,5,0.24,0.2,0.17,8.969,9.212,9.212,100,"{""active"": 42, ""repealed"": 29, ""unknown"": 29}",False,True
10,off,120,50,75,10,5,0.24,0.2,0.17,8.995,9.362,9.362,50,"{""active"": 29, ""repealed"": 10, ""unknown"": 11}",False,True
10,off,120,50,75,15,5,0.24,0.2,0.17,9.173,9.424,9.424,75,"{""active"": 38, ""repealed"": 18, ""unknown"": 19}",False,True
10,off,120,50,75,20,5,0.24,0.2,0.17,9.496,15.849,15.849,100,"{""active"": 42, ""repealed"": 29, ""unknown"": 29}",False,True
10,off,120,50,100,10,5,0.24,0.2,0.17,8.925,9.221,9.221,50,"{""active"": 29, ""repealed"": 10, ""unknown"": 11}",False,True
10,off,120,50,100,15,5,0.24,0.2,0.17,8.955,9.125,9.125,75,"{""active"": 38, ""repealed"": 18, ""unknown"": 19}",False,True
10,off,120,50,100,20,5,0.24,0.2,0.17,9.261,9.32,9.32,100,"{""active"": 42, ""repealed"": 29, ""unknown"": 29}",False,True
10,off,120,75,30,10,5,0.24,0.2,0.17,9.055,9.207,9.207,50,"{""active"": 29, ""repealed"": 10, ""unknown"": 11}",False,True
10,off,120,75,30,15,5,0.24,0.2,0.17,9.165,9.506,9.506,75,"{""active"": 38, ""repealed"": 18, ""unknown"": 19}",False,True
10,off,120,75,30,20,5,0.24,0.2,0.17,8.876,10.374,10.374,100,"{""active"": 42, ""repealed"": 29, ""unknown"": 29}",False,True
10,off,120,75,50,10,5,0.24,0.2,0.17,8.878,9.097,9.097,50,"{""active"": 29, ""repealed"": 10, ""unknown"": 11}",False,True
10,off,120,75,50,15,5,0.24,0.2,0.17,8.981,9.283,9.283,75,"{""active"": 38, ""repealed"": 18, ""unknown"": 19}",False,True
10,off,120,75,50,20,5,0.24,0.2,0.17,8.747,9.356,9.356,100,"{""active"": 42, ""repealed"": 29, ""unknown"": 29}",False,True
10,off,120,75,75,10,5,0.24,0.2,0.17,9.004,9.111,9.111,50,"{""active"": 29, ""repealed"": 10, ""unknown"": 11}",False,True
10,off,120,75,75,15,5,0.24,0.2,0.17,8.747,8.949,8.949,75,"{""active"": 38, ""repealed"": 18, ""unknown"": 19}",False,True
10,off,120,75,75,20,5,0.24,0.2,0.17,8.888,9.391,9.391,100,"{""active"": 42, ""repealed"": 29, ""unknown"": 29}",False,True
10,off,120,75,100,10,5,0.24,0.2,0.17,8.765,9.026,9.026,50,"{""active"": 29, ""repealed"": 10, ""unknown"": 11}",False,True
10,off,120,75,100,15,5,0.24,0.2,0.17,9.477,9.769,9.769,75,"{""active"": 38, ""repealed"": 18, ""unknown"": 19}",False,True
10,off,120,75,100,20,5,0.24,0.2,0.17,9.188,9.883,9.883,100,"{""active"": 42, ""repealed"": 29, ""unknown"": 29}",False,True
10,off,120,100,30,10,5,0.24,0.2,0.17,8.501,9.199,9.199,50,"{""active"": 29, ""repealed"": 10, ""unknown"": 11}",False,True
10,off,120,100,30,15,5,0.24,0.2,0.17,8.708,8.864,8.864,75,"{""active"": 38, ""repealed"": 18, ""unknown"": 19}",False,True
10,off,120,100,30,20,5,0.24,0.2,0.17,8.936,9.045,9.045,100,"{""active"": 42, ""repealed"": 29, ""unknown"": 29}",False,True
10,off,120,100,50,10,5,0.24,0.2,0.17,8.76,9.311,9.311,50,"{""active"": 29, ""repealed"": 10, ""unknown"": 11}",False,True
10,off,120,100,50,15,5,0.24,0.2,0.17,8.692,9.448,9.448,75,"{""active"": 38, ""repealed"": 18, ""unknown"": 19}",False,True
10,off,120,100,50,20,5,0.24,0.2,0.17,8.904,9.106,9.106,100,"{""active"": 42, ""repealed"": 29, ""unknown"": 29}",False,True
10,off,120,100,75,10,5,0.24,0.2,0.17,8.642,8.975,8.975,50,"{""active"": 29, ""repealed"": 10, ""unknown"": 11}",False,True
10,off,120,100,75,15,5,0.24,0.2,0.17,8.45,8.684,8.684,75,"{""active"": 38, ""repealed"": 18, ""unknown"": 19}",False,True
10,off,120,100,75,20,5,0.24,0.2,0.17,8.725,9.006,9.006,100,"{""active"": 42, ""repealed"": 29, ""unknown"": 29}",False,True
10,off,120,100,100,10,5,0.24,0.2,0.17,8.818,9.106,9.106,50,"{""active"": 29, ""repealed"": 10, ""unknown"": 11}",False,True
10,off,120,100,100,15,5,0.24,0.2,0.17,8.921,9.05,9.05,75,"{""active"": 38, ""repealed"": 18, ""unknown"": 19}",False,True
10,off,120,100,100,20,5,0.24,0.2,0.17,8.905,9.2,9.2,100,"{""active"": 42, ""repealed"": 29, ""unknown"": 29}",False,True
10,off,120,150,30,10,5,0.24,0.2,0.17,8.885,9.278,9.278,50,"{""active"": 29, ""repealed"": 10, ""unknown"": 11}",False,True
10,off,120,150,30,15,5,0.24,0.2,0.17,9.15,10.187,10.187,75,"{""active"": 38, ""repealed"": 18, ""unknown"": 19}",False,True
10,off,120,150,30,20,5,0.24,0.2,0.17,9.008,9.406,9.406,100,"{""active"": 42, ""repealed"": 29, ""unknown"": 29}",False,True
10,off,120,150,50,10,5,0.24,0.2,0.17,8.971,9.073,9.073,50,"{""active"": 29, ""repealed"": 10, ""unknown"": 11}",False,True
10,off,120,150,50,15,5,0.24,0.2,0.17,8.818,8.993,8.993,75,"{""active"": 38, ""repealed"": 18, ""unknown"": 19}",False,True
10,off,120,150,50,20,5,0.24,0.2,0.17,9.038,9.164,9.164,100,"{""active"": 42, ""repealed"": 29, ""unknown"": 29}",False,True
10,off,120,150,75,10,5,0.24,0.2,0.17,9.352,9.707,9.707,50,"{""active"": 29, ""repealed"": 10, ""unknown"": 11}",False,True
10,off,120,150,75,15,5,0.24,0.2,0.17,9.024,9.32,9.32,75,"{""active"": 38, ""repealed"": 18, ""unknown"": 19}",False,True
10,off,120,150,75,20,5,0.24,0.2,0.17,8.855,9.295,9.295,100,"{""active"": 42, ""repealed"": 29, ""unknown"": 29}",False,True
10,off,120,150,100,10,5,0.24,0.2,0.17,9.205,10.355,10.355,50,"{""active"": 29, ""repealed"": 10, ""unknown"": 11}",False,True
10,off,120,150,100,15,5,0.24,0.2,0.17,9.146,9.164,9.164,75,"{""active"": 38, ""repealed"": 18, ""unknown"": 19}",False,True
10,off,120,150,100,20,5,0.24,0.2,0.17,9.345,9.651,9.651,100,"{""active"": 42, ""repealed"": 29, ""unknown"": 29}",False,True
10,off,120,200,30,10,5,0.24,0.2,0.17,9.042,9.476,9.476,50,"{""active"": 29, ""repealed"": 10, ""unknown"": 11}",False,True
10,off,120,200,30,15,5,0.24,0.2,0.17,9.007,9.468,9.468,75,"{""active"": 38, ""repealed"": 18, ""unknown"": 19}",False,True
10,off,120,200,30,20,5,0.24,0.2,0.17,8.905,9.14,9.14,100,"{""active"": 42, ""repealed"": 29, ""unknown"": 29}",False,True
10,off,120,200,50,10,5,0.24,0.2,0.17,8.978,9.139,9.139,50,"{""active"": 29, ""repealed"": 10, ""unknown"": 11}",False,True
10,off,120,200,50,15,5,0.24,0.2,0.17,9.255,9.551,9.551,75,"{""active"": 38, ""repealed"": 18, ""unknown"": 19}",False,True
10,off,120,200,50,20,5,0.24,0.2,0.17,9.113,9.71,9.71,100,"{""active"": 42, ""repealed"": 29, ""unknown"": 29}",False,True
10,off,120,200,75,10,5,0.24,0.2,0.17,8.799,9.396,9.396,50,"{""active"": 29, ""repealed"": 10, ""unknown"": 11}",False,True
10,off,120,200,75,15,5,0.24,0.2,0.17,8.643,9.227,9.227,75,"{""active"": 38, ""repealed"": 18, ""unknown"": 19}",False,True
10,off,120,200,75,20,5,0.24,0.2,0.17,8.672,8.899,8.899,100,"{""active"": 42, ""repealed"": 29, ""unknown"": 29}",False,True
10,off,120,200,100,10,5,0.24,0.2,0.17,8.562,9.207,9.207,50,"{""active"": 29, ""repealed"": 10, ""unknown"": 11}",False,True
10,off,120,200,100,15,5,0.24,0.2,0.17,8.846,8.936,8.936,75,"{""active"": 38, ""repealed"": 18, ""unknown"": 19}",False,True
10,off,120,200,100,20,5,0.24,0.2,0.17,8.984,10.924,10.924,100,"{""active"": 42, ""repealed"": 29, ""unknown"": 29}",False,True
10,relaxed_order,60,50,30,10,5,0.32,0.46,0.44,9.098,9.57,9.57,50,"{""active"": 29, ""repealed"": 10, ""unknown"": 11}",False,True
10,relaxed_order,60,50,30,15,5,0.32,0.46,0.44,8.978,9.044,9.044,75,"{""active"": 38, ""repealed"": 18, ""unknown"": 19}",False,True
10,relaxed_order,60,50,30,20,5,0.32,0.46,0.44,8.949,9.297,9.297,100,"{""active"": 42, ""repealed"": 29, ""unknown"": 29}",False,True
10,relaxed_order,60,50,50,10,5,0.32,0.46,0.44,9.112,9.482,9.482,50,"{""active"": 29, ""repealed"": 10, ""unknown"": 11}",False,True
10,relaxed_order,60,50,50,15,5,0.32,0.46,0.44,9.164,9.294,9.294,75,"{""active"": 38, ""repealed"": 18, ""unknown"": 19}",False,True
10,relaxed_order,60,50,50,20,5,0.32,0.46,0.44,9.007,9.259,9.259,100,"{""active"": 42, ""repealed"": 29, ""unknown"": 29}",False,True
10,relaxed_order,60,50,75,10,5,0.32,0.46,0.44,8.854,9.52,9.52,50,"{""active"": 29, ""repealed"": 10, ""unknown"": 11}",False,True
10,relaxed_order,60,50,75,15,5,0.32,0.46,0.44,8.903,9.542,9.542,75,"{""active"": 38, ""repealed"": 18, ""unknown"": 19}",False,True
10,relaxed_order,60,50,75,20,5,0.32,0.46,0.44,8.944,9.003,9.003,100,"{""active"": 42, ""repealed"": 29, ""unknown"": 29}",False,True
10,relaxed_order,60,50,100,10,5,0.32,0.46,0.44,8.602,9.462,9.462,50,"{""active"": 29, ""repealed"": 10, ""unknown"": 11}",False,True
10,relaxed_order,60,50,100,15,5,0.32,0.46,0.44,9.316,9.525,9.525,75,"{""active"": 38, ""repealed"": 18, ""unknown"": 19}",False,True
10,relaxed_order,60,50,100,20,5,0.32,0.46,0.44,8.951,9.245,9.245,100,"{""active"": 42, ""repealed"": 29, ""unknown"": 29}",False,True
10,relaxed_order,60,75,30,10,5,0.32,0.46,0.44,8.383,8.831,8.831,50,"{""active"": 29, ""repealed"": 10, ""unknown"": 11}",False,True
10,relaxed_order,60,75,30,15,5,0.32,0.46,0.44,8.853,9.172,9.172,75,"{""active"": 38, ""repealed"": 18, ""unknown"": 19}",False,True
10,relaxed_order,60,75,30,20,5,0.32,0.46,0.44,9.254,9.414,9.414,100,"{""active"": 42, ""repealed"": 29, ""unknown"": 29}",False,True
10,relaxed_order,60,75,50,10,5,0.32,0.46,0.44,8.495,8.626,8.626,50,"{""active"": 29, ""repealed"": 10, ""unknown"": 11}",False,True
10,relaxed_order,60,75,50,15,5,0.32,0.46,0.44,8.705,8.924,8.924,75,"{""active"": 38, ""repealed"": 18, ""unknown"": 19}",False,True
10,relaxed_order,60,75,50,20,5,0.32,0.46,0.44,8.968,9.421,9.421,100,"{""active"": 42, ""repealed"": 29, ""unknown"": 29}",False,True
10,relaxed_order,60,75,75,10,5,0.32,0.46,0.44,8.724,9.243,9.243,50,"{""active"": 29, ""repealed"": 10, ""unknown"": 11}",False,True
10,relaxed_order,60,75,75,15,5,0.32,0.46,0.44,8.644,8.842,8.842,75,"{""active"": 38, ""repealed"": 18, ""unknown"": 19}",False,True
10,relaxed_order,60,75,75,20,5,0.32,0.46,0.44,9.07,9.502,9.502,100,"{""active"": 42, ""repealed"": 29, ""unknown"": 29}",False,True
10,relaxed_order,60,75,100,10,5,0.32,0.46,0.44,8.489,9.381,9.381,50,"{""active"": 29, ""repealed"": 10, ""unknown"": 11}",False,True
10,relaxed_order,60,75,100,15,5,0.32,0.46,0.44,8.917,9.568,9.568,75,"{""active"": 38, ""repealed"": 18, ""unknown"": 19}",False,True
10,relaxed_order,60,75,100,20,5,0.32,0.46,0.44,9.469,9.511,9.511,100,"{""active"": 42, ""repealed"": 29, ""unknown"": 29}",False,True
10,relaxed_order,60,100,30,10,5,0.32,0.46,0.44,8.967,9.206,9.206,50,"{""active"": 29, ""repealed"": 10, ""unknown"": 11}",False,True
10,relaxed_order,60,100,30,15,5,0.32,0.46,0.44,9.26,9.468,9.468,75,"{""active"": 38, ""repealed"": 18, ""unknown"": 19}",False,True
10,relaxed_order,60,100,30,20,5,0.32,0.46,0.44,8.983,9.304,9.304,100,"{""active"": 42, ""repealed"": 29, ""unknown"": 29}",False,True
10,relaxed_order,60,100,50,10,5,0.32,0.46,0.44,8.995,9.325,9.325,50,"{""active"": 29, ""repealed"": 10, ""unknown"": 11}",False,True
10,relaxed_order,60,100,50,15,5,0.32,0.46,0.44,9.219,10.979,10.979,75,"{""active"": 38, ""repealed"": 18, ""unknown"": 19}",False,True
10,relaxed_order,60,100,50,20,5,0.32,0.46,0.44,9.063,9.241,9.241,100,"{""active"": 42, ""repealed"": 29, ""unknown"": 29}",False,True
10,relaxed_order,60,100,75,10,5,0.32,0.46,0.44,8.819,9.379,9.379,50,"{""active"": 29, ""repealed"": 10, ""unknown"": 11}",False,True
10,relaxed_order,60,100,75,15,5,0.32,0.46,0.44,8.779,9.016,9.016,75,"{""active"": 38, ""repealed"": 18, ""unknown"": 19}",False,True
10,relaxed_order,60,100,75,20,5,0.32,0.46,0.44,9.101,9.716,9.716,100,"{""active"": 42, ""repealed"": 29, ""unknown"": 29}",False,True
10,relaxed_order,60,100,100,10,5,0.32,0.46,0.44,8.839,9.601,9.601,50,"{""active"": 29, ""repealed"": 10, ""unknown"": 11}",False,True
10,relaxed_order,60,100,100,15,5,0.32,0.46,0.44,9.466,9.922,9.922,75,"{""active"": 38, ""repealed"": 18, ""unknown"": 19}",False,True
10,relaxed_order,60,100,100,20,5,0.32,0.46,0.44,9.191,9.305,9.305,100,"{""active"": 42, ""repealed"": 29, ""unknown"": 29}",False,True
10,relaxed_order,60,150,30,10,5,0.32,0.46,0.44,9.05,9.313,9.313,50,"{""active"": 29, ""repealed"": 10, ""unknown"": 11}",False,True
10,relaxed_order,60,150,30,15,5,0.32,0.46,0.44,8.863,9.079,9.079,75,"{""active"": 38, ""repealed"": 18, ""unknown"": 19}",False,True
10,relaxed_order,60,150,30,20,5,0.32,0.46,0.44,8.994,9.103,9.103,100,"{""active"": 42, ""repealed"": 29, ""unknown"": 29}",False,True
10,relaxed_order,60,150,50,10,5,0.32,0.46,0.44,9.095,9.329,9.329,50,"{""active"": 29, ""repealed"": 10, ""unknown"": 11}",False,True
10,relaxed_order,60,150,50,15,5,0.32,0.46,0.44,8.976,9.134,9.134,75,"{""active"": 38, ""repealed"": 18, ""unknown"": 19}",False,True
10,relaxed_order,60,150,50,20,5,0.32,0.46,0.44,9.014,9.265,9.265,100,"{""active"": 42, ""repealed"": 29, ""unknown"": 29}",False,True
10,relaxed_order,60,150,75,10,5,0.32,0.46,0.44,9.199,9.886,9.886,50,"{""active"": 29, ""repealed"": 10, ""unknown"": 11}",False,True
10,relaxed_order,60,150,75,15,5,0.32,0.46,0.44,9.244,9.506,9.506,75,"{""active"": 38, ""repealed"": 18, ""unknown"": 19}",False,True
10,relaxed_order,60,150,75,20,5,0.32,0.46,0.44,9.202,9.312,9.312,100,"{""active"": 42, ""repealed"": 29, ""unknown"": 29}",False,True
10,relaxed_order,60,150,100,10,5,0.32,0.46,0.44,9.009,9.659,9.659,50,"{""active"": 29, ""repealed"": 10, ""unknown"": 11}",False,True
10,relaxed_order,60,150,100,15,5,0.32,0.46,0.44,9.342,9.638,9.638,75,"{""active"": 38, ""repealed"": 18, ""unknown"": 19}",False,True
10,relaxed_order,60,150,100,20,5,0.32,0.46,0.44,9.17,9.677,9.677,100,"{""active"": 42, ""repealed"": 29, ""unknown"": 29}",False,True
10,relaxed_order,60,200,30,10,5,0.32,0.46,0.44,9.078,9.267,9.267,50,"{""active"": 29, ""repealed"": 10, ""unknown"": 11}",False,True
10,relaxed_order,60,200,30,15,5,0.32,0.46,0.44,9.486,9.576,9.576,75,"{""active"": 38, ""repealed"": 18, ""unknown"": 19}",False,True
10,relaxed_order,60,200,30,20,5,0.32,0.46,0.44,9.214,9.687,9.687,100,"{""active"": 42, ""repealed"": 29, ""unknown"": 29}",False,True
10,relaxed_order,60,200,50,10,5,0.32,0.46,0.44,8.91,9.194,9.194,50,"{""active"": 29, ""repealed"": 10, ""unknown"": 11}",False,True
10,relaxed_order,60,200,50,15,5,0.32,0.46,0.44,8.955,9.074,9.074,75,"{""active"": 38, ""repealed"": 18, ""unknown"": 19}",False,True
10,relaxed_order,60,200,50,20,5,0.32,0.46,0.44,8.973,9.411,9.411,100,"{""active"": 42, ""repealed"": 29, ""unknown"": 29}",False,True
10,relaxed_order,60,200,75,10,5,0.32,0.46,0.44,8.859,9.066,9.066,50,"{""active"": 29, ""repealed"": 10, ""unknown"": 11}",False,True
10,relaxed_order,60,200,75,15,5,0.32,0.46,0.44,9.087,9.345,9.345,75,"{""active"": 38, ""repealed"": 18, ""unknown"": 19}",False,True
10,relaxed_order,60,200,75,20,5,0.32,0.46,0.44,9.399,9.566,9.566,100,"{""active"": 42, ""repealed"": 29, ""unknown"": 29}",False,True
10,relaxed_order,60,200,100,10,5,0.32,0.46,0.44,9.009,9.822,9.822,50,"{""active"": 29, ""repealed"": 10, ""unknown"": 11}",False,True
10,relaxed_order,60,200,100,15,5,0.32,0.46,0.44,9.377,9.564,9.564,75,"{""active"": 38, ""repealed"": 18, ""unknown"": 19}",False,True
10,relaxed_order,60,200,100,20,5,0.32,0.46,0.44,9.137,9.435,9.435,100,"{""active"": 42, ""repealed"": 29, ""unknown"": 29}",False,True
10,relaxed_order,120,50,30,10,5,0.32,0.46,0.62,9.302,9.472,9.472,50,"{""active"": 29, ""repealed"": 10, ""unknown"": 11}",False,True
